,slide,features,patches
0,DE4DB857-DF01-4AC8-8169-2C56596BB703,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/DE4DB857-DF01-4AC8-8169-2C56596BB703.pt,3706
1,E705C0D6-72BE-4CF9-B427-6FD99D25FBC7,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/E705C0D6-72BE-4CF9-B427-6FD99D25FBC7.pt,0
2,43030BB1-3D0B-4AE8-B808-707C6B85C54A,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/43030BB1-3D0B-4AE8-B808-707C6B85C54A.pt,22276
3,98364881-BEA3-46DB-B5BF-2032ACD38A3F,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/98364881-BEA3-46DB-B5BF-2032ACD38A3F.pt,0
4,BDAD7C9F-D5B9-432E-B9E6-25E4012209A3,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/BDAD7C9F-D5B9-432E-B9E6-25E4012209A3.pt,9759
5,32F504B9-18B1-4BB8-A62C-12D22639AA4E,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/32F504B9-18B1-4BB8-A62C-12D22639AA4E.pt,0
6,67B7B251-4160-43B7-AC10-C2482224E1FB,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/67B7B251-4160-43B7-AC10-C2482224E1FB.pt,2910
7,567DB864-8752-4F04-B86A-C6ABC0B86C73,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/567DB864-8752-4F04-B86A-C6ABC0B86C73.pt,7629
8,3DA60281-C3A8-481C-AB58-B3F18E60CDB0,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/3DA60281-C3A8-481C-AB58-B3F18E60CDB0.pt,1491
9,86B9F1CB-D8B8-4305-AD7B-06782FDE61D0,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/86B9F1CB-D8B8-4305-AD7B-06782FDE61D0.pt,3523
10,12487F5D-30C3-43D4-AB2A-CE2900A6E50F,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/12487F5D-30C3-43D4-AB2A-CE2900A6E50F.pt,2567
11,F758F129-1803-4AD3-A86B-88BDE67295E0,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/F758F129-1803-4AD3-A86B-88BDE67295E0.pt,0
12,855F7822-BC51-4B44-B812-DD1CAAF275B2,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/855F7822-BC51-4B44-B812-DD1CAAF275B2.pt,28736
13,C2640D17-3BB5-4E4B-A877-1524F3B4A111,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/C2640D17-3BB5-4E4B-A877-1524F3B4A111.pt,8022
14,011455F8-B36A-4575-A26D-E40DF45470A8,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/011455F8-B36A-4575-A26D-E40DF45470A8.pt,13370
15,36ADB66F-A8B5-4CA6-A5A9-A29C531FABD3,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/36ADB66F-A8B5-4CA6-A5A9-A29C531FABD3.pt,6275
16,0C403BAC-2FAF-4379-8D69-DDD8B0C2BF43,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/0C403BAC-2FAF-4379-8D69-DDD8B0C2BF43.pt,0
17,1EAD5F7E-DCCF-4210-920F-1FBF88BED40F,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/1EAD5F7E-DCCF-4210-920F-1FBF88BED40F.pt,0
18,52BE2238-6732-4073-B093-B08DB794EFF2,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/52BE2238-6732-4073-B093-B08DB794EFF2.pt,2383
19,C9BFED91-3328-4D9C-B20A-2181223867B1,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/C9BFED91-3328-4D9C-B20A-2181223867B1.pt,7591
20,5B8E612F-A759-4992-92BF-630DB298A6B6,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/5B8E612F-A759-4992-92BF-630DB298A6B6.pt,0
21,10A22EFE-C60A-475C-960C-4A4E22723F03,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/10A22EFE-C60A-475C-960C-4A4E22723F03.pt,0
22,3786FC26-A0C2-4E19-AB54-0E62A92C0FD7,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/3786FC26-A0C2-4E19-AB54-0E62A92C0FD7.pt,12034
23,4D398A7F-7C27-4924-8B56-AF875872D061,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/4D398A7F-7C27-4924-8B56-AF875872D061.pt,9796
24,55AC417B-496F-4F4B-BD96-00F9D98B8E5D,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/55AC417B-496F-4F4B-BD96-00F9D98B8E5D.pt,23983
25,CA63C000-42D3-4811-90A4-C069E7389378,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/CA63C000-42D3-4811-90A4-C069E7389378.pt,4763
26,CFE76E33-8B43-4FFE-9C95-10B6B898B23F,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/CFE76E33-8B43-4FFE-9C95-10B6B898B23F.pt,0
27,56023AFA-732A-4ADB-9AEF-B7F35A7E7759,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/moco_pretrained_features_all_tilesize_256_embeddings_768/pt_files/56023AFA-732A-4ADB-9AEF-B7F35A7E7759.pt,0
