,slide,features,patches
0,9727FE00-FF35-43D7-A676-25AF3A43AC6B,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/9727FE00-FF35-43D7-A676-25AF3A43AC6B.h5,14582
1,860BD1A0-41B3-4688-B858-FD003C4FE09F,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/860BD1A0-41B3-4688-B858-FD003C4FE09F.h5,753
2,E7339AD6-E674-4D6C-937D-9694D02138C6,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/E7339AD6-E674-4D6C-937D-9694D02138C6.h5,3296
3,52BE2238-6732-4073-B093-B08DB794EFF2,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/52BE2238-6732-4073-B093-B08DB794EFF2.h5,991
4,B0E04096-11F5-4B1A-9F1B-E67B8B33F0FF,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/B0E04096-11F5-4B1A-9F1B-E67B8B33F0FF.h5,1811
5,E747A5BC-7B6A-4A6F-9890-8A7411BF8228,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/E747A5BC-7B6A-4A6F-9890-8A7411BF8228.h5,2382
6,85823450-E74A-4960-975D-B00C41A3BFD0,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/85823450-E74A-4960-975D-B00C41A3BFD0.h5,11978
7,1839A3FB-895B-477C-BA69-D83038DA3B45,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/1839A3FB-895B-477C-BA69-D83038DA3B45.h5,1085
8,A082A888-6A8B-4173-8212-D496D99748A7,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/A082A888-6A8B-4173-8212-D496D99748A7.h5,1202
9,F76BD003-0D38-49FF-818E-21AFD08117A2,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/F76BD003-0D38-49FF-818E-21AFD08117A2.h5,4124
10,A5F3099F-465D-440C-A81D-B768AB78574C,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/A5F3099F-465D-440C-A81D-B768AB78574C.h5,2511
11,665E2F68-676D-4ED7-BB61-D5554F0CFBD3,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/665E2F68-676D-4ED7-BB61-D5554F0CFBD3.h5,2180
12,672FC945-6AEF-4392-A07B-ED343EA35300,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/672FC945-6AEF-4392-A07B-ED343EA35300.h5,2253
13,48264798-65B3-4492-9E41-832802E60056,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/48264798-65B3-4492-9E41-832802E60056.h5,963
14,AA4E936A-5BB4-40B6-BE4D-A86DEAF0EA1D,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/AA4E936A-5BB4-40B6-BE4D-A86DEAF0EA1D.h5,2417
15,3950B489-D180-406B-B042-6765DCC99878,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/3950B489-D180-406B-B042-6765DCC99878.h5,3081
16,1EA510B5-2107-46A1-A68F-18440CB2133A,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/1EA510B5-2107-46A1-A68F-18440CB2133A.h5,1690
17,049207AA-0F55-41B0-83B7-08A693C2913D,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/049207AA-0F55-41B0-83B7-08A693C2913D.h5,7877
18,E6A80773-6C75-43A8-B7BD-F12EF69BE061,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/E6A80773-6C75-43A8-B7BD-F12EF69BE061.h5,4885
19,A5A66FAB-EED2-48A6-B92D-41A4E2195FEA,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/A5A66FAB-EED2-48A6-B92D-41A4E2195FEA.h5,9114
20,62270C01-B629-46AA-A524-D1689116B87E,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/62270C01-B629-46AA-A524-D1689116B87E.h5,6825
21,BCEBE5E3-E482-4E27-82FD-A2FFF12F5C84,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/BCEBE5E3-E482-4E27-82FD-A2FFF12F5C84.h5,1381
