,slide,features,patches
0,4060CD3E-88D8-4634-8CF8-C4B13F5BA936,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/UNI_256_1024_UKHD_FULL_dataset/pt_files/4060CD3E-88D8-4634-8CF8-C4B13F5BA936.pt,3447
1,229C6576-F8A3-46F0-B4C8-01AF121A6256,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/UNI_256_1024_UKHD_FULL_dataset/pt_files/229C6576-F8A3-46F0-B4C8-01AF121A6256.pt,15173
2,7551DBF0-E695-410F-8D10-5C80CF55982C,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/UNI_256_1024_UKHD_FULL_dataset/pt_files/7551DBF0-E695-410F-8D10-5C80CF55982C.pt,10584
3,5A9F7B8A-E320-4FF4-87B3-84F3CB03FA8C,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/UNI_256_1024_UKHD_FULL_dataset/pt_files/5A9F7B8A-E320-4FF4-87B3-84F3CB03FA8C.pt,2341
4,FA803594-5922-4B83-B85C-B253ECE3879D,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/UNI_256_1024_UKHD_FULL_dataset/pt_files/FA803594-5922-4B83-B85C-B253ECE3879D.pt,2975
5,32C57CB9-FA3C-45A9-B5C9-7523249DF5A9,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/UNI_256_1024_UKHD_FULL_dataset/pt_files/32C57CB9-FA3C-45A9-B5C9-7523249DF5A9.pt,2075
6,66EC0DD5-6A10-4B69-8F30-770DBBDF7245,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/UNI_256_1024_UKHD_FULL_dataset/pt_files/66EC0DD5-6A10-4B69-8F30-770DBBDF7245.pt,6648
7,E8DE2BC9-FC2E-4271-B1C7-CB57065E9160,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/UNI_256_1024_UKHD_FULL_dataset/pt_files/E8DE2BC9-FC2E-4271-B1C7-CB57065E9160.pt,12465
8,A691E81A-D2AD-493E-BBBD-E9A3241CA8CE,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/UNI_256_1024_UKHD_FULL_dataset/pt_files/A691E81A-D2AD-493E-BBBD-E9A3241CA8CE.pt,1951
9,5FBF8B62-E994-44D3-AA62-FCF5E4BD4A9A,/omics/odcf/analysis/OE0606_projects/pancancer_histopathology/analysis/shared_playground/CNS_classification/embeddings/UNI_256_1024_UKHD_FULL_dataset/pt_files/5FBF8B62-E994-44D3-AA62-FCF5E4BD4A9A.pt,2646
