,slide,features,patches
0,07A87F90-DC34-4DA7-9D01-54CDF62B0331,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/07A87F90-DC34-4DA7-9D01-54CDF62B0331.h5,96
1,55AC417B-496F-4F4B-BD96-00F9D98B8E5D,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/55AC417B-496F-4F4B-BD96-00F9D98B8E5D.h5,7838
2,74D0DA1D-1016-4063-A76C-737636305AFD,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/74D0DA1D-1016-4063-A76C-737636305AFD.h5,3792
3,F588E588-1ADD-4FE8-BB26-5B62182AB216,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/F588E588-1ADD-4FE8-BB26-5B62182AB216.h5,0
4,D008228A-C496-42F0-AA40-00704E528163,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/D008228A-C496-42F0-AA40-00704E528163.h5,3103
5,287B2891-1F77-4E61-ADF2-4F0914F603C6,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/287B2891-1F77-4E61-ADF2-4F0914F603C6.h5,6201
6,D7AA4F19-9593-48DE-B8CB-B4DD6CC32BE7,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/D7AA4F19-9593-48DE-B8CB-B4DD6CC32BE7.h5,1782
7,2394B1A9-26A8-43D1-BC66-F9CBCD8F2651,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/2394B1A9-26A8-43D1-BC66-F9CBCD8F2651.h5,6433
8,6AFC1D71-41D3-4281-BC02-53CF3E894FD1,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/6AFC1D71-41D3-4281-BC02-53CF3E894FD1.h5,7861
9,CAEC5514-2556-4742-B19B-41D76C63049A,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/CAEC5514-2556-4742-B19B-41D76C63049A.h5,2121
10,C794780D-5622-4E6F-A04D-D6D4F8D7A549,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/C794780D-5622-4E6F-A04D-D6D4F8D7A549.h5,183
11,9178A228-AE2C-4F5B-8366-303E94644003,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/9178A228-AE2C-4F5B-8366-303E94644003.h5,1092
12,A76050AB-3C66-4A1E-A206-54A83B807F4A,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/A76050AB-3C66-4A1E-A206-54A83B807F4A.h5,200
13,3F6DAC57-2FAF-48A1-B397-82E097D20407,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/3F6DAC57-2FAF-48A1-B397-82E097D20407.h5,1636
14,1B322E4E-2C65-446D-B19A-878E48B69323,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/1B322E4E-2C65-446D-B19A-878E48B69323.h5,3642
15,8C7FEA18-4A06-4C45-8AF6-9C4B669D0ABC,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/8C7FEA18-4A06-4C45-8AF6-9C4B669D0ABC.h5,5604
16,48456332-F319-48D5-8C44-ACE3A4E2F162,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/48456332-F319-48D5-8C44-ACE3A4E2F162.h5,10193
17,C2640D17-3BB5-4E4B-A877-1524F3B4A111,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/C2640D17-3BB5-4E4B-A877-1524F3B4A111.h5,1023
18,11D3E124-2EFE-4CBC-91EA-3D31DAA7A4F8,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/11D3E124-2EFE-4CBC-91EA-3D31DAA7A4F8.h5,8733
19,DF4EF493-B005-49AD-8727-579CDD385C89,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/DF4EF493-B005-49AD-8727-579CDD385C89.h5,5337
20,D83C8367-E4FB-4A77-9FD3-82FD0EC407EA,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/D83C8367-E4FB-4A77-9FD3-82FD0EC407EA.h5,4867
21,74ACD744-7271-4EF0-B6DF-83B61510F50D,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/74ACD744-7271-4EF0-B6DF-83B61510F50D.h5,697
22,6F2AF0E8-692E-4343-90E4-5D6503C26210,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/6F2AF0E8-692E-4343-90E4-5D6503C26210.h5,3249
23,1B75CB7C-37BB-48FF-8617-8C7CADE8B52A,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/1B75CB7C-37BB-48FF-8617-8C7CADE8B52A.h5,2012
24,32E7E02A-7DB7-417F-AC9C-1A49D2C1E72A,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/32E7E02A-7DB7-417F-AC9C-1A49D2C1E72A.h5,12436
25,E607E153-4513-498B-8AFD-8B4571EE1543,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/E607E153-4513-498B-8AFD-8B4571EE1543.h5,297
26,983C3F10-8222-4236-8ADC-9DDEE6196B1E,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/983C3F10-8222-4236-8ADC-9DDEE6196B1E.h5,7783
27,19A278BC-15C1-417C-91A3-1F7D9362AD1A,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/19A278BC-15C1-417C-91A3-1F7D9362AD1A.h5,5196
28,63454350-699E-4498-B842-096D9A55E236,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/63454350-699E-4498-B842-096D9A55E236.h5,2989
29,9423434F-BCC9-4FD2-901C-EE57A11BA4C5,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/9423434F-BCC9-4FD2-901C-EE57A11BA4C5.h5,324
30,AE82B702-65D7-486C-BEDA-93EB36DF6C58,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/AE82B702-65D7-486C-BEDA-93EB36DF6C58.h5,8311
31,B5602470-9257-424C-946C-CFDA25D73C6E,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/B5602470-9257-424C-946C-CFDA25D73C6E.h5,6516
32,370BAC7C-364D-415B-B9A8-5C8590F0100D,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/370BAC7C-364D-415B-B9A8-5C8590F0100D.h5,554
33,7674BA90-3960-4F75-9093-679475F7E751,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/7674BA90-3960-4F75-9093-679475F7E751.h5,1531
34,DD2F32E3-E2B7-4D57-9635-11252972E5D9,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/DD2F32E3-E2B7-4D57-9635-11252972E5D9.h5,5833
35,98DDE5FA-DC0C-4B9E-AE8E-80FAEC9BB418,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/98DDE5FA-DC0C-4B9E-AE8E-80FAEC9BB418.h5,3474
36,E7B93080-1B3C-408C-9B82-9B0D25E68B1F,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/E7B93080-1B3C-408C-9B82-9B0D25E68B1F.h5,166
37,DAF622F3-3DE0-4F3E-A5EC-F533A92EEEBF,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/DAF622F3-3DE0-4F3E-A5EC-F533A92EEEBF.h5,1395
38,4F21A2E7-2520-4D1E-A306-3F0284AF6A8C,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/4F21A2E7-2520-4D1E-A306-3F0284AF6A8C.h5,7406
39,8FA857E9-598C-48DB-AD01-AE1DDD9BE471,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/8FA857E9-598C-48DB-AD01-AE1DDD9BE471.h5,2610
40,A1410B8E-69C0-4BEF-BAA4-675BB9EB6FF7,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/A1410B8E-69C0-4BEF-BAA4-675BB9EB6FF7.h5,10400
41,BBADC845-809F-4982-BD76-D1F8135AA282,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/BBADC845-809F-4982-BD76-D1F8135AA282.h5,6884
42,73B32281-6BDC-45B6-A317-C30362BBC3B9,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/73B32281-6BDC-45B6-A317-C30362BBC3B9.h5,2436
43,DA7260DE-0D1D-47DC-AAE6-794FEA1D4668,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/DA7260DE-0D1D-47DC-AAE6-794FEA1D4668.h5,1116
44,EA89C568-283F-468F-95A6-05EE065B3B7E,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/EA89C568-283F-468F-95A6-05EE065B3B7E.h5,5380
45,FB4D062E-ED6C-4AD4-B868-3CE5F528B7C1,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/FB4D062E-ED6C-4AD4-B868-3CE5F528B7C1.h5,5097
46,FB189BD1-F05A-45E7-AB7A-209144F1EE4F,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/FB189BD1-F05A-45E7-AB7A-209144F1EE4F.h5,7795
47,E6A80773-6C75-43A8-B7BD-F12EF69BE061,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/E6A80773-6C75-43A8-B7BD-F12EF69BE061.h5,4885
48,09CEF454-8917-4C7B-955C-8DA5A5888BE3,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/09CEF454-8917-4C7B-955C-8DA5A5888BE3.h5,7644
49,695F0E3E-7922-42F6-9F29-FA19FADD81BE,/home/p163v/histopathology/UKHD_Neuro/RetCLL_Features/695F0E3E-7922-42F6-9F29-FA19FADD81BE.h5,6348
